Quantile,DN_expression,P_value_resampled,ranksum_statistic,ranksum_p
0.02,0.05977916454157765,0.999,5.971602147470807,2.3493489053533264e-09
0.04,0.141085071075042,1.0,11.20850548990894,3.70394489784299e-29
0.06,0.141085071075042,1.0,11.20850548990894,3.70394489784299e-29
0.08,0.141085071075042,1.0,11.20850548990894,3.70394489784299e-29
0.1,0.141085071075042,1.0,11.20850548990894,3.70394489784299e-29
0.12,0.195904296432173,1.0,11.20850548990894,3.70394489784299e-29
0.14,0.19818843082205384,1.0,13.23712828561773,5.355779588519269e-40
0.16,0.19818843082205384,1.0,13.23712828561773,5.355779588519269e-40
0.18,0.19818843082205384,1.0,13.23712828561773,5.355779588519269e-40
0.2,0.36402671922468244,1.0,14.348504360741224,1.0885961446945707e-46
0.22,0.36402671922468244,1.0,14.348504360741224,1.0885961446945707e-46
0.24,0.36402671922468244,1.0,14.348504360741224,1.0885961446945707e-46
0.26,0.36402671922468244,1.0,14.348504360741224,1.0885961446945707e-46
0.28,0.3717674385981623,1.0,14.744085050911622,3.3584041000806917e-49
0.3,0.3753839246302517,1.0,14.916189394132912,2.586273415939647e-50
0.32,0.7567861133695297,1.0,14.841305139430357,7.919993667354848e-50
0.34,1.0217798386654162,1.0,14.195870149426254,9.717273465644293e-46
0.36,1.1714536673276918,1.0,13.758052715763458,4.556346216964811e-43
0.38,1.1855878244729374,1.0,13.150844526692682,1.6828428088945186e-39
0.4,1.208355084983718,1.0,12.329452783120555,6.287223448320747e-35
0.42,1.3098823685601857,1.0,11.534581647168004,8.831546256926182e-31
0.44,1.3098823685601857,1.0,11.534581647168004,8.831546256926182e-31
0.46,1.396167099025031,1.0,10.816117336622984,2.8875234965674688e-27
0.48,1.5091972422286073,1.0,10.280532650802355,8.624960898351507e-25
0.5,1.591484649046616,1.0,9.625782544174157,6.223141618958696e-22
0.52,1.770018811225314,1.0,8.798783844447144,1.383067936845001e-18
0.54,1.8320342850998597,1.0,8.115768694695628,4.827193671836577e-16
0.56,1.9061083180014253,1.0,7.447184407739207,9.535329485655853e-14
0.58,2.229327194631609,1.0,6.11245961722897,9.810713863818169e-10
0.6,2.229327194631609,1.0,6.11245961722897,9.810713863818169e-10
0.62,2.286620540319797,0.999,5.187368176558591,2.132867995879135e-07
0.64,2.3671794069742407,0.167,4.32698537323891,1.5116399547943383e-05
0.66,2.3861391374798755,0.155,4.090847453838835,4.297997754863818e-05
0.68,3.394109197016705,0.164,3.212102317017178,0.0013176743773911678
0.7,3.6854870210661455,0.0,1.7034460133550693,0.08848463295594139
0.72,3.7396938000561497,0.0,1.6611897698126057,0.09667533954439748
0.74,3.920761515046086,0.0,-0.0009507085041739584,0.9992414444769653
0.76,4.454163206210174,0.0,-0.04245125585345775,0.9661389688853375
0.78,4.761937465368266,0.0,-0.8742320966865784,0.38199186993590317
0.8,12.702156590587157,0.0,-2.4003274586492926,0.016380411045893332
0.82,13.761811572447803,0.0,-2.986263176335904,0.0028240948496657653
0.84,32.90113127497552,0.0,-3.840191778253538,0.00012293823475477945
0.86,40.563016814671165,0.0,-5.14175866553572,2.721785957655433e-07
0.88,52.616392578347615,0.0,-6.696443922619494,2.1355234349417075e-11
0.9,77.0998151013236,0.0,-6.849167155473219,7.428116192875634e-12
0.92,106.95151200439747,0.0,-7.810609207435773,5.6912221769902186e-15
0.94,155.21556051304103,0.0,-8.812835635572508,1.2201938798376303e-18
0.96,209.86868089256188,0.0,-10.147600066337988,3.3961216206053474e-24
0.98,235.3551142148139,0.0,-10.830264665036337,2.4743908999307623e-27
1.0,441.0974003526337,0.0,-11.795130268728585,4.13560183106988e-32
