,Total_name,Motif,Strandness,relative_fold,relative_fold_median,T_value,P_value,Ranksum_statistic,Ranksum_P_value,Corrected_pvalue,N_with_motif,N_without_motif,Significant
460,THO2_r,THO2,Reverse,1.0277867588073433,1.0110360169515433,0.7838182921586825,0.4332845265315127,0.457638967151896,0.6472118430778114,0.7290432255359256,1308,44760,No
349,RPH1_f,RPH1,Forward,1.0275814325352357,1.0700453524839437,1.787290884680961,0.07396415031240652,3.356358073082728,0.0007897624447297427,0.0018954298673513825,3433,42635,Yes
211,REI1_f,REI1,Forward,1.027174439240403,1.04926317937966,1.1472446275109023,0.251461119989187,1.7723170291731194,0.0763419459956963,0.11781906626107459,1417,44651,No
63,SOK2,SOK2,Both,1.026509232094982,1.028990195093985,2.9603141312385692,0.003075145466556684,3.1758265340283205,0.0014941026429007066,0.0034051641628899823,17685,28383,Yes
19,STE12,STE12,Both,1.0264150580045448,1.0031528550551623,1.3324996308169315,0.18278082017559447,0.6913062433010048,0.4893731091686362,0.5848605451039798,3234,42834,No
453,NDD1_r,NDD1,Reverse,1.0247668579310516,1.043127743692956,1.0231433925574267,0.3064202108972886,1.8102688266098008,0.07025410881197966,0.10957404769613804,1285,44783,No
221,YER130C_f,YER130C,Forward,1.023999987397359,1.0333651825215786,1.3735722429576662,0.1696753419817456,2.113307833642151,0.034574428678093544,0.05742871204157911,2666,43402,No
223,YLR278C_f,YLR278C,Forward,1.02339375280014,1.0129766126416329,2.3706080978688946,0.017766643086950844,0.8790863087976095,0.37935448058471954,0.47358903308665623,13831,32237,No
209,PDR8_f,PDR8,Forward,1.023383309339923,1.0534517585444296,2.053819128224731,0.04001697911672321,2.781192446418162,0.0054159620869411425,0.010943593495262515,7455,38613,Yes
102,THI2,THI2,Both,1.0231888979264803,0.9590828808956589,0.38701683180975105,0.6989228046466627,-0.4612771688199268,0.6445997630055906,0.7302979973936171,456,45612,No
56,HAP4,HAP4,Both,1.0231065609808452,1.0257600432969638,1.5722535100240538,0.11593713558732807,1.8105668283736673,0.07020793089454404,0.10979325363295717,5711,40357,No
579,TBF1_r,TBF1,Reverse,1.0220395330437633,1.0291305782997806,1.7996454393484873,0.07195105881462575,2.6255245789289954,0.008651556238693209,0.016900714512796036,6391,39677,Yes
121,UGA3,UGA3,Both,1.021471871963164,1.0180120193756936,1.4266319166274164,0.15374891315196457,1.1290777348660783,0.2588650428723239,0.3459378300202874,4101,41967,No
278,HAP2_f,HAP2,Forward,1.0208546590132301,1.0584445824006028,1.4136859963655606,0.15751527932441012,2.672129473488553,0.007537156104868628,0.01492204642984092,4167,41901,Yes
117,PHO4,PHO4,Both,1.0205953660955482,1.0118785322249564,1.0893558818241378,0.27609471582994466,1.061705516057464,0.2883693944193998,0.3759671927241842,2396,43672,No
61,NDD1,NDD1,Both,1.0200912245318021,1.0147604943666981,1.0444877040270375,0.2963635713323959,1.733552317328872,0.08299754711657327,0.12610480027014231,2180,43888,No
325,MATALPHA2_f,MATALPHA2,Forward,1.0194046848080391,1.0581197167860443,0.6625919420337254,0.5077558808211056,1.48170797766293,0.1384180134641764,0.19997491871482978,891,45177,No
564,MIG2_r,MIG2,Reverse,1.0185564842962522,1.0143912087198736,1.1461331770548864,0.25180849174862546,1.2213701864426727,0.22194589002262544,0.3013953425711403,3410,42658,No
541,MET31_r,MET31,Reverse,1.0180509836306344,1.0496215961161273,0.4574886306146113,0.6475129979693894,0.6518228845837244,0.5145154369018878,0.608722488728994,503,45565,No
9,GZF3,GZF3,Both,1.0178200496468117,1.0303938140351805,1.8075751884163445,0.07068585716482395,2.6595724755420083,0.007823989474333694,0.01533501936969404,33397,12671,Yes
