DNA_cut_off,RNA_cut_off,Total_barcode,Percentile_of_PC,barcode_better_than_pc,better_than_pc_ratio,barcode_better_than_nc,better_than_nc_ratio,barcode_worse_than_pc,worse_than_pc_ratio,barcode_worse_than_nc,worse_than_nc_ratio
1,0,239457,0.1,40745,0.17015581085539366,64102,0.26769733188004524,192544,0.8040859110403955,168444,0.7034415364762776
1,0,239457,0.2,19495,0.08141336440362988,64102,0.26769733188004524,214669,0.8964824582284084,168444,0.7034415364762776
1,0,239457,0.3,10709,0.04472201689656181,64102,0.26769733188004524,225052,0.939843061593522,168444,0.7034415364762776
1,0,239457,0.4,6572,0.027445428615576074,64102,0.26769733188004524,230301,0.9617634898958894,168444,0.7034415364762776
1,0,239457,0.5,4482,0.01871734799984966,64102,0.26769733188004524,233260,0.9741206145571021,168444,0.7034415364762776
1,0,239457,0.6,3294,0.013756123228805171,64102,0.26769733188004524,234917,0.9810404373227761,168444,0.7034415364762776
1,0,239457,0.7,2598,0.010849547100314461,64102,0.26769733188004524,235949,0.9853501881339864,168444,0.7034415364762776
1,0,239457,0.8,2043,0.008531803204750749,64102,0.26769733188004524,236617,0.9881398330389172,168444,0.7034415364762776
1,0,239457,0.9,1689,0.007053458449742542,64102,0.26769733188004524,237085,0.9900942549184196,168444,0.7034415364762776
1,0,239457,1.0,1421,0.0059342595956685335,64102,0.26769733188004524,237520,0.9919108649987263,168444,0.7034415364762776
5,0,228399,0.1,40368,0.17674333075013463,63703,0.27891102850713007,181870,0.7962819451924045,157787,0.690839276879496
5,0,228399,0.2,19138,0.08379196056024764,63703,0.27891102850713007,203979,0.8930818436157777,157787,0.690839276879496
5,0,228399,0.3,10370,0.04540300088879549,63703,0.27891102850713007,214348,0.9384804662016909,157787,0.690839276879496
5,0,228399,0.4,6250,0.027364393013979922,63703,0.27891102850713007,219579,0.9613833685786716,157787,0.690839276879496
5,0,228399,0.5,4161,0.018218118292987272,63703,0.27891102850713007,222524,0.9742774705668589,157787,0.690839276879496
5,0,228399,0.6,2990,0.013091125617887995,63703,0.27891102850713007,224180,0.981527940139843,157787,0.690839276879496
5,0,228399,0.7,2300,0.01007009662914461,63703,0.27891102850713007,225196,0.9859762958681956,157787,0.690839276879496
5,0,228399,0.8,1776,0.007775865918852535,63703,0.27891102850713007,225859,0.9888791106791186,157787,0.690839276879496
5,0,228399,0.9,1424,0.0062347033043051855,63703,0.27891102850713007,226324,0.9909150215193586,157787,0.690839276879496
5,0,228399,1.0,1161,0.0050832096462769105,63703,0.27891102850713007,226728,0.9926838558837823,157787,0.690839276879496
10,0,220445,0.1,39957,0.181256095624759,63248,0.28691056726167524,174343,0.7908684705935721,150292,0.681766426999932
10,0,220445,0.2,18781,0.08519585384109415,63248,0.28691056726167524,196389,0.8908752750119078,150292,0.681766426999932
10,0,220445,0.3,10021,0.04545805076096079,63248,0.28691056726167524,206747,0.9378620517589421,150292,0.681766426999932
10,0,220445,0.4,5909,0.026804871963528317,63248,0.28691056726167524,211968,0.9615459638458572,150292,0.681766426999932
10,0,220445,0.5,3833,0.01738755698700356,63248,0.28691056726167524,214906,0.9748735512259293,150292,0.681766426999932
10,0,220445,0.6,2682,0.012166299984123025,63248,0.28691056726167524,216554,0.9823493388373518,150292,0.681766426999932
10,0,220445,0.7,2000,0.009072557780852367,63248,0.28691056726167524,217554,0.9868856177277779,150292,0.681766426999932
10,0,220445,0.8,1500,0.0068044183356392755,63248,0.28691056726167524,218207,0.9898478078432262,150292,0.681766426999932
10,0,220445,0.9,1161,0.005266619791784799,63248,0.28691056726167524,218666,0.9919299598539318,150292,0.681766426999932
10,0,220445,1.0,905,0.0041053323958356955,63248,0.28691056726167524,219049,0.993667354668965,150292,0.681766426999932
20,0,209146,0.1,39202,0.18743844013273026,62375,0.2982366385204594,163812,0.7832423283256672,139904,0.6689298384860337
20,0,209146,0.2,18059,0.0863463800407371,62375,0.2982366385204594,185825,0.8884941619729758,139904,0.6689298384860337
20,0,209146,0.3,9344,0.0446769242538705,62375,0.2982366385204594,196148,0.9378520268138048,139904,0.6689298384860337
20,0,209146,0.4,5277,0.025231178219999425,62375,0.2982366385204594,201327,0.9626146328402169,139904,0.6689298384860337
20,0,209146,0.5,3253,0.015553728017748366,62375,0.2982366385204594,204228,0.9764853260401825,139904,0.6689298384860337
20,0,209146,0.6,2158,0.010318150956747917,62375,0.2982366385204594,205836,0.9841737350941447,139904,0.6689298384860337
20,0,209146,0.7,1525,0.007291557094087384,62375,0.2982366385204594,206791,0.9887399233071634,139904,0.6689298384860337
20,0,209146,0.8,1071,0.005120824687060713,62375,0.2982366385204594,207401,0.9916565461447984,139904,0.6689298384860337
20,0,209146,0.9,786,0.00375814024652635,62375,0.2982366385204594,207828,0.9936981821311428,139904,0.6689298384860337
20,0,209146,1.0,569,0.0027205875321545713,62375,0.2982366385204594,208158,0.9952760272728142,139904,0.6689298384860337
50,0,182907,0.1,36215,0.1979967961860399,59233,0.3238421711580202,140603,0.7687130618292356,117047,0.6399263013443991
50,0,182907,0.2,15453,0.08448555823451262,59233,0.3238421711580202,162346,0.8875876811713056,117047,0.6399263013443991
50,0,182907,0.3,7209,0.03941347242041037,59233,0.3238421711580202,172306,0.9420415839743694,117047,0.6399263013443991
50,0,182907,0.4,3581,0.019578255616242133,59233,0.3238421711580202,177078,0.9681313454378455,117047,0.6399263013443991
50,0,182907,0.5,1938,0.010595548557463629,59233,0.3238421711580202,179638,0.9821275292908418,117047,0.6399263013443991
50,0,182907,0.6,1122,0.006134264954321049,59233,0.3238421711580202,180919,0.9891310884766575,117047,0.6399263013443991
50,0,182907,0.7,692,0.0037833434477630708,59233,0.3238421711580202,181649,0.9931221877784885,117047,0.6399263013443991
50,0,182907,0.8,428,0.0023399869879228243,59233,0.3238421711580202,182076,0.9954567075070938,117047,0.6399263013443991
50,0,182907,0.9,292,0.001596439720732394,59233,0.3238421711580202,182346,0.9969328675228395,117047,0.6399263013443991
50,0,182907,1.0,188,0.001027844751704418,59233,0.3238421711580202,182522,0.9978951051627329,117047,0.6399263013443991
100,0,146291,0.1,29759,0.20342331380604411,51946,0.3550867790909899,110733,0.7569365169422589,87831,0.6003855329446104
100,0,146291,0.2,10913,0.07459789050590945,51946,0.3550867790909899,130939,0.8950584793322898,87831,0.6003855329446104
100,0,146291,0.3,4327,0.029578032824985816,51946,0.3550867790909899,139361,0.9526286647845732,87831,0.6003855329446104
100,0,146291,0.4,1830,0.012509313628316164,51946,0.3550867790909899,142943,0.977114108181638,87831,0.6003855329446104
100,0,146291,0.5,846,0.005782994169155997,51946,0.3550867790909899,144661,0.9888578244731392,87831,0.6003855329446104
100,0,146291,0.6,449,0.00306922503776719,51946,0.3550867790909899,145416,0.994018770806133,87831,0.6003855329446104
100,0,146291,0.7,251,0.0017157583173264246,51946,0.3550867790909899,145785,0.996541140603318,87831,0.6003855329446104
100,0,146291,0.8,152,0.0010390249571060421,51946,0.3550867790909899,145979,0.9978672645617297,87831,0.6003855329446104
100,0,146291,0.9,102,0.0006972404317422124,51946,0.3550867790909899,146093,0.9986465332795592,87831,0.6003855329446104
100,0,146291,1.0,72,0.0004921697165239146,51946,0.3550867790909899,146156,0.9990771817815176,87831,0.6003855329446104
200,0,87193,0.1,16930,0.19416696294427305,34546,0.39620152993933,65996,0.7568956223550055,46914,0.5380477790648331
200,0,87193,0.2,4804,0.05509616597662657,34546,0.39620152993933,79800,0.9152110834585345,46914,0.5380477790648331
200,0,87193,0.3,1564,0.017937219730941704,34546,0.39620152993933,84445,0.9684837085545858,46914,0.5380477790648331
200,0,87193,0.4,570,0.006537222024703818,34546,0.39620152993933,86044,0.9868223366554655,46914,0.5380477790648331
200,0,87193,0.5,253,0.0029016090741229225,34546,0.39620152993933,86684,0.9941623754200452,46914,0.5380477790648331
200,0,87193,0.6,139,0.001594164669182159,34546,0.39620152993933,86929,0.9969722340096109,46914,0.5380477790648331
200,0,87193,0.7,84,0.0009633800878510889,34546,0.39620152993933,87038,0.9982223343617034,46914,0.5380477790648331
200,0,87193,0.8,53,0.0006078469601917586,34546,0.39620152993933,87098,0.9989104629958827,46914,0.5380477790648331
200,0,87193,0.9,40,0.0004587524227862328,34546,0.39620152993933,87120,0.9991627768284151,46914,0.5380477790648331
200,0,87193,1.0,33,0.00037847074879864207,34546,0.39620152993933,87144,0.9994380282820868,46914,0.5380477790648331
400,0,28752,0.1,4890,0.17007512520868112,12431,0.43235253199777407,22223,0.7729201446855871,13103,0.45572481914301616
400,0,28752,0.2,1005,0.034954090150250416,12431,0.43235253199777407,27069,0.9414649415692822,13103,0.45572481914301616
400,0,28752,0.3,277,0.009634112409571509,12431,0.43235253199777407,28237,0.9820882025598219,13103,0.45572481914301616
400,0,28752,0.4,98,0.0034084585420144685,12431,0.43235253199777407,28548,0.9929048414023373,13103,0.45572481914301616
400,0,28752,0.5,44,0.001530328324986088,12431,0.43235253199777407,28663,0.9969045631608235,13103,0.45572481914301616
400,0,28752,0.6,30,0.001043405676126878,12431,0.43235253199777407,28704,0.998330550918197,13103,0.45572481914301616
400,0,28752,0.7,20,0.0006956037840845854,12431,0.43235253199777407,28718,0.9988174735670562,13103,0.45572481914301616
400,0,28752,0.8,17,0.0005912632164718976,12431,0.43235253199777407,28729,0.9992000556483027,13103,0.45572481914301616
400,0,28752,0.9,12,0.00041736227045075126,12431,0.43235253199777407,28733,0.9993391764051196,13103,0.45572481914301616
400,0,28752,1.0,11,0.000382582081246522,12431,0.43235253199777407,28736,0.9994435169727324,13103,0.45572481914301616
