DNA_cut_off,RNA_cut_off,Total_barcode,Percentile_of_PC,barcode_better_than_pc,better_than_pc_ratio,barcode_better_than_nc,better_than_nc_ratio,barcode_worse_than_pc,worse_than_pc_ratio,barcode_worse_than_nc,worse_than_nc_ratio
100,0,49169,0.05,20676,0.4205088572067766,24136,0.4908783989912343,25100,0.5104842482051699,21179,0.4307388801887368
100,0,49169,0.1,12255,0.24924240883483495,24136,0.4908783989912343,32779,0.6666598873273811,21179,0.4307388801887368
100,0,49169,0.15,7302,0.1485082063902052,24136,0.4908783989912343,37894,0.7706888486648091,21179,0.4307388801887368
100,0,49169,0.2,4420,0.08989403892696618,24136,0.4908783989912343,41441,0.8428277980028066,21179,0.4307388801887368
100,0,49169,0.25,2795,0.0568447599096992,24136,0.4908783989912343,43784,0.8904797738412414,21179,0.4307388801887368
100,0,49169,0.3,1806,0.0367304602493441,24136,0.4908783989912343,45393,0.9232036445727999,21179,0.4307388801887368
100,0,49169,0.35,1202,0.024446297463849173,24136,0.4908783989912343,46447,0.9446399153938457,21179,0.4307388801887368
100,0,49169,0.4,817,0.016616160588988998,24136,0.4908783989912343,47195,0.9598527527507169,21179,0.4307388801887368
100,0,49169,0.45,557,0.01132827594622628,24136,0.4908783989912343,47708,0.9702861559112449,21179,0.4307388801887368
100,0,49169,0.5,399,0.008114869124855092,24136,0.4908783989912343,48094,0.9781366308039618,21179,0.4307388801887368
100,0,49169,0.55,273,0.005552278874900852,24136,0.4908783989912343,48347,0.9832821493217271,21179,0.4307388801887368
100,0,49169,0.6,203,0.004128617624926275,24136,0.4908783989912343,48535,0.9871056966788017,21179,0.4307388801887368
100,0,49169,0.65,161,0.003274420874941528,24136,0.4908783989912343,48694,0.9903394415180297,21179,0.4307388801887368
100,0,49169,0.7,123,0.0025015761963839006,24136,0.4908783989912343,48802,0.9925359474465618,21179,0.4307388801887368
100,0,49169,0.75,93,0.00189143566068051,24136,0.4908783989912343,48881,0.9941426508572474,21179,0.4307388801887368
100,0,49169,0.8,64,0.0013016331428338994,24136,0.4908783989912343,48946,0.9954646220179382,21179,0.4307388801887368
100,0,49169,0.85,46,0.0009355488214118652,24136,0.4908783989912343,48986,0.9962781427322093,21179,0.4307388801887368
100,0,49169,0.9,36,0.0007321686428440684,24136,0.4908783989912343,49015,0.996867945250056,21179,0.4307388801887368
100,0,49169,0.95,31,0.00063047855356017,24136,0.4908783989912343,49038,0.9973357196607618,21179,0.4307388801887368
100,0,49169,1.0,24,0.0004881124285627123,24136,0.4908783989912343,49066,0.9979051841607517,21179,0.4307388801887368
100,0,49169,1.05,17,0.00034574630356525455,24136,0.4908783989912343,49084,0.9982712684821737,21179,0.4307388801887368
100,0,49169,1.1,16,0.00032540828570847485,24136,0.4908783989912343,49105,0.9986983668571661,21179,0.4307388801887368
100,0,49169,1.15,14,0.0002847322499949155,24136,0.4908783989912343,49120,0.9990034371250178,21179,0.4307388801887368
100,0,49169,1.2,13,0.0002643942321381358,24136,0.4908783989912343,49128,0.9991661412678721,21179,0.4307388801887368
100,0,49169,1.25,12,0.00024405621428135615,24136,0.4908783989912343,49134,0.9992881693750127,21179,0.4307388801887368
100,0,49169,1.3,9,0.0001830421607110171,24136,0.4908783989912343,49138,0.9993695214464399,21179,0.4307388801887368
100,0,49169,1.35,8,0.00016270414285423742,24136,0.4908783989912343,49143,0.9994712115357237,21179,0.4307388801887368
100,0,49169,1.4,8,0.00016270414285423742,24136,0.4908783989912343,49148,0.9995729016250077,21179,0.4307388801887368
100,0,49169,1.45,7,0.00014236612499745775,24136,0.4908783989912343,49152,0.9996542536964348,21179,0.4307388801887368
100,0,49169,1.5,6,0.00012202810714067808,24136,0.4908783989912343,49153,0.9996745917142915,21179,0.4307388801887368
100,0,49169,1.55,4,8.135207142711871e-05,24136,0.4908783989912343,49154,0.9996949297321484,21179,0.4307388801887368
100,0,49169,1.6,4,8.135207142711871e-05,24136,0.4908783989912343,49155,0.9997152677500051,21179,0.4307388801887368
100,0,49169,1.65,3,6.101405357033904e-05,24136,0.4908783989912343,49156,0.9997356057678619,21179,0.4307388801887368
100,0,49169,1.7,3,6.101405357033904e-05,24136,0.4908783989912343,49156,0.9997356057678619,21179,0.4307388801887368
100,0,49169,1.75,3,6.101405357033904e-05,24136,0.4908783989912343,49158,0.9997762818035755,21179,0.4307388801887368
100,0,49169,1.8,2,4.0676035713559356e-05,24136,0.4908783989912343,49161,0.9998372958571458,21179,0.4307388801887368
100,0,49169,1.85,2,4.0676035713559356e-05,24136,0.4908783989912343,49161,0.9998372958571458,21179,0.4307388801887368
100,0,49169,1.9,2,4.0676035713559356e-05,24136,0.4908783989912343,49161,0.9998372958571458,21179,0.4307388801887368
100,0,49169,1.95,2,4.0676035713559356e-05,24136,0.4908783989912343,49161,0.9998372958571458,21179,0.4307388801887368
100,0,49169,2.0,2,4.0676035713559356e-05,24136,0.4908783989912343,49163,0.9998779718928593,21179,0.4307388801887368
