DNA_cut_off,RNA_cut_off,Total_barcode,Percentile_of_PC,barcode_better_than_pc,better_than_pc_ratio,barcode_better_than_nc,better_than_nc_ratio,barcode_worse_than_pc,worse_than_pc_ratio,barcode_worse_than_nc,worse_than_nc_ratio
1,0,239457,0.1,45021,0.1880128791390521,62392,0.26055617501263273,188622,0.7877071875117453,164778,0.6881318984201756
1,0,239457,0.2,20823,0.08695924529247423,62392,0.26055617501263273,213777,0.8927573635349979,164778,0.6881318984201756
1,0,239457,0.3,11091,0.04631729287512998,62392,0.26055617501263273,225080,0.939959992817082,164778,0.6881318984201756
1,0,239457,0.4,6710,0.028021732503121646,62392,0.26055617501263273,230628,0.9631290795424648,164778,0.6881318984201756
1,0,239457,0.5,4463,0.018638001812433965,62392,0.26055617501263273,233515,0.9751855239145233,164778,0.6881318984201756
1,0,239457,0.6,3180,0.013280046104311004,62392,0.26055617501263273,235196,0.9822055734432487,164778,0.6881318984201756
1,0,239457,0.7,2434,0.010164664219463201,62392,0.26055617501263273,236268,0.9866823688595447,164778,0.6881318984201756
1,0,239457,0.8,1967,0.00821441845508797,62392,0.26055617501263273,236931,0.9894511331888397,164778,0.6881318984201756
1,0,239457,0.9,1635,0.006827948232876884,62392,0.26055617501263273,237386,0.9913512655716893,164778,0.6881318984201756
1,0,239457,1.0,1354,0.0056544598821500315,62392,0.26055617501263273,237690,0.9926208045703404,164778,0.6881318984201756
5,0,228399,0.1,44643,0.1954605755716969,61996,0.27143726548715186,177941,0.7790795931680962,154110,0.6747402571815113
5,0,228399,0.2,20459,0.08957569866768243,61996,0.27143726548715186,203089,0.889185154050587,154110,0.6747402571815113
5,0,228399,0.3,10747,0.047053621075398754,61996,0.27143726548715186,214373,0.9385899237737468,154110,0.6747402571815113
5,0,228399,0.4,6385,0.027955463903081887,61996,0.27143726548715186,219910,0.9628325868326919,154110,0.6747402571815113
5,0,228399,0.5,4148,0.018161200355518194,61996,0.27143726548715186,222779,0.9753939378018293,154110,0.6747402571815113
5,0,228399,0.6,2870,0.01256572927201958,61996,0.27143726548715186,224451,0.9827144602209291,154110,0.6747402571815113
5,0,228399,0.7,2131,0.009330163442046594,61996,0.27143726548715186,225520,0.9873948660020403,154110,0.6747402571815113
5,0,228399,0.8,1687,0.007386196962333461,61996,0.27143726548715186,226177,0.9902714109956698,154110,0.6747402571815113
5,0,228399,0.9,1366,0.005980761737135452,61996,0.27143726548715186,226608,0.9921584595379139,154110,0.6747402571815113
5,0,228399,1.0,1096,0.004798619958931519,61996,0.27143726548715186,226901,0.9934413022824093,154110,0.6747402571815113
10,0,220445,0.1,44224,0.20061239765020752,61560,0.27925332849463586,170410,0.7730272857175259,146609,0.6650593118464924
10,0,220445,0.2,20073,0.09105672616752478,61560,0.27925332849463586,195529,0.8869740751661412,146609,0.6650593118464924
10,0,220445,0.3,10375,0.04706389348817165,61560,0.27925332849463586,206797,0.9380888657034635,146609,0.6650593118464924
10,0,220445,0.4,6029,0.02734922543037946,61560,0.27925332849463586,212323,0.9631563428519585,146609,0.6650593118464924
