DNA_cut_off,RNA_cut_off,Total_barcode,Percentile_of_PC,barcode_better_than_pc,better_than_pc_ratio,barcode_better_than_nc,better_than_nc_ratio,barcode_worse_than_pc,worse_than_pc_ratio,barcode_worse_than_nc,worse_than_nc_ratio
1,0,68590,0.1,30575,0.4457646887301356,35682,0.5202216066481995,34804,0.5074209068377314,29246,0.42638868639743405
1,0,68590,0.2,16233,0.23666715264615834,35682,0.5202216066481995,48601,0.7085726782329785,29246,0.42638868639743405
1,0,68590,0.3,8868,0.12928998396267677,35682,0.5202216066481995,56695,0.8265782183991836,29246,0.42638868639743405
1,0,68590,0.4,5238,0.07636681732030909,35682,0.5202216066481995,61194,0.8921708703892696,29246,0.42638868639743405
1,0,68590,0.5,3266,0.04761627059338096,35682,0.5202216066481995,63772,0.9297565242746756,29246,0.42638868639743405
1,0,68590,0.6,2218,0.032337075375419154,35682,0.5202216066481995,65340,0.9526169995626185,29246,0.42638868639743405
1,0,68590,0.7,1638,0.023881032220440298,35682,0.5202216066481995,66252,0.9659133984545852,29246,0.42638868639743405
1,0,68590,0.8,1295,0.0188803032512028,35682,0.5202216066481995,66803,0.9739466394518151,29246,0.42638868639743405
1,0,68590,0.9,1044,0.015220877678961948,35682,0.5202216066481995,67157,0.9791077416533023,29246,0.42638868639743405
1,0,68590,1.0,876,0.012771541040968072,35682,0.5202216066481995,67371,0.9822277299897945,29246,0.42638868639743405
5,0,63687,0.1,30156,0.4735032267181685,35264,0.5537079780802989,30295,0.4756857757470127,24761,0.38879206117417997
5,0,63687,0.2,15835,0.24863786958091919,35264,0.5537079780802989,44101,0.6924647102234365,24761,0.38879206117417997
5,0,63687,0.3,8488,0.13327680688366542,35264,0.5537079780802989,52177,0.8192723789784414,24761,0.38879206117417997
5,0,63687,0.4,4869,0.07645202317584436,35264,0.5537079780802989,56664,0.8897263177728579,24761,0.38879206117417997
5,0,63687,0.5,2923,0.04589633677202569,35264,0.5537079780802989,59238,0.9301427292854114,24761,0.38879206117417997
5,0,63687,0.6,1903,0.029880509366118673,35264,0.5537079780802989,60780,0.954354891893165,24761,0.38879206117417997
5,0,63687,0.7,1328,0.020851979210827955,35264,0.5537079780802989,61665,0.9682509774365256,24761,0.38879206117417997
5,0,63687,0.8,987,0.015497668283951199,35264,0.5537079780802989,62214,0.9768712610108813,24761,0.38879206117417997
5,0,63687,0.9,796,0.012498626093237238,35264,0.5537079780802989,62562,0.982335484478779,24761,0.38879206117417997
5,0,63687,1.0,629,0.009876426900309326,35264,0.5537079780802989,62776,0.9856956678757046,24761,0.38879206117417997
10,0,61784,0.1,29837,0.48292438171694935,34940,0.5655185808623592,28713,0.46473196944192674,23183,0.3752265958824291
