DNA_cut_off,RNA_cut_off,Total_barcode,Percentile_of_PC,barcode_better_than_pc,better_than_pc_ratio,barcode_better_than_nc,better_than_nc_ratio,barcode_worse_than_pc,worse_than_pc_ratio,barcode_worse_than_nc,worse_than_nc_ratio
1,0,68590,0.1,18351,0.26754628954658116,29457,0.4294649365796763,46081,0.6718326286630704,31743,0.462793410118093
1,0,68590,0.2,6946,0.10126840647324684,29457,0.4294649365796763,58638,0.8549059629683627,31743,0.462793410118093
1,0,68590,0.3,3315,0.04833066044612917,29457,0.4294649365796763,63628,0.9276570928706809,31743,0.462793410118093
1,0,68590,0.4,1897,0.02765709287068086,29457,0.4294649365796763,65698,0.9578364193031054,31743,0.462793410118093
1,0,68590,0.5,1278,0.01863245371045342,29457,0.4294649365796763,66721,0.9727511299023182,31743,0.462793410118093
1,0,68590,0.6,959,0.013981629975215046,29457,0.4294649365796763,67253,0.9805073625892987,31743,0.462793410118093
1,0,68590,0.7,776,0.011313602565971716,29457,0.4294649365796763,67562,0.9850123924770374,31743,0.462793410118093
1,0,68590,0.8,627,0.009141274238227148,29457,0.4294649365796763,67728,0.9874325703455314,31743,0.462793410118093
1,0,68590,0.9,548,0.007989502842980027,29457,0.4294649365796763,67876,0.989590319288526,31743,0.462793410118093
1,0,68590,1.0,484,0.007056422218982359,29457,0.4294649365796763,67968,0.9909316226855227,31743,0.462793410118093
5,0,63687,0.1,17933,0.2815802283040495,29021,0.4556816932812034,41597,0.6531474241210922,27259,0.42801513652707773
5,0,63687,0.2,6567,0.10311366526920722,29021,0.4556816932812034,54129,0.8499222761317067,27259,0.42801513652707773
5,0,63687,0.3,2968,0.046602917392874525,29021,0.4556816932812034,59090,0.9278188641323976,27259,0.42801513652707773
5,0,63687,0.4,1579,0.024793128896007034,29021,0.4556816932812034,61132,0.9598819225273604,27259,0.42801513652707773
5,0,63687,0.5,976,0.015324948576632594,29021,0.4556816932812034,62136,0.9756465212680767,27259,0.42801513652707773
5,0,63687,0.6,681,0.010692920062179095,29021,0.4556816932812034,62652,0.9837486457204767,27259,0.42801513652707773
5,0,63687,0.7,501,0.00786659757878374,29021,0.4556816932812034,62939,0.9882550599023349,27259,0.42801513652707773
5,0,63687,0.8,376,0.0059038736319814095,29021,0.4556816932812034,63102,0.9908144519289651,27259,0.42801513652707773
5,0,63687,0.9,301,0.004726239263900011,29021,0.4556816932812034,63226,0.992761474084193,27259,0.42801513652707773
5,0,63687,1.0,241,0.0037841317694348926,29021,0.4556816932812034,63316,0.9941746353258907,27259,0.42801513652707773
10,0,61784,0.1,17665,0.2859154473650136,28708,0.4646510423410592,39982,0.6471254693771851,25662,0.4153502524925547
10,0,61784,0.2,6371,0.10311731192541758,28708,0.4646510423410592,52444,0.848828175579438,25662,0.4153502524925547
10,0,61784,0.3,2804,0.0453839181665156,28708,0.4646510423410592,57362,0.9284280719927489,25662,0.4153502524925547
10,0,61784,0.4,1445,0.023387932150718632,28708,0.4646510423410592,59378,0.9610578790625405,25662,0.4153502524925547
10,0,61784,0.5,857,0.013870905088696102,28708,0.4646510423410592,60367,0.9770652596141396,25662,0.4153502524925547
10,0,61784,0.6,576,0.009322802019940438,28708,0.4646510423410592,60868,0.985174155121067,25662,0.4153502524925547
10,0,61784,0.7,401,0.006490353489576589,28708,0.4646510423410592,61141,0.9895927748284346,25662,0.4153502524925547
10,0,61784,0.8,287,0.004645215589796711,28708,0.4646510423410592,61300,0.9921662566360223,25662,0.4153502524925547
10,0,61784,0.9,217,0.0035122361776511717,28708,0.4646510423410592,61416,0.9940437653761491,25662,0.4153502524925547
10,0,61784,1.0,165,0.002670594328628771,28708,0.4646510423410592,61502,0.9954357115110708,25662,0.4153502524925547
20,0,59513,0.1,17265,0.2901046830104347,28197,0.47379564128845797,38148,0.6410028061095895,23942,0.4022986574361904
20,0,59513,0.2,6105,0.10258262900542739,28197,0.47379564128845797,50474,0.8481172180868045,23942,0.4022986574361904
